SGB_id type
SGB_685 kSGB
SGB_686 kSGB
SGB_687 kSGB
SGB_688 kSGB
SGB_689 kSGB
SGB_690 kSGB
SGB_691 kSGB
SGB_692 kSGB
SGB_693 kSGB
SGB_694 kSGB
SGB_695 kSGB
SGB_696 kSGB
SGB_697 kSGB
SGB_698 kSGB
SGB_699 kSGB
SGB_700 kSGB
SGB_701 kSGB
SGB_702 kSGB
SGB_703 kSGB
SGB_704 kSGB
SGB_705 kSGB
SGB_706 kSGB
SGB_707 kSGB
SGB_708 kSGB
SGB_709 kSGB
SGB_710 kSGB
SGB_711 kSGB
SGB_712 kSGB
SGB_713 kSGB
SGB_714 kSGB
SGB_715 kSGB
SGB_716 kSGB
SGB_717 kSGB
SGB_718 kSGB
SGB_719 kSGB
SGB_720 kSGB
SGB_721 kSGB
SGB_722 kSGB
SGB_723 kSGB
SGB_724 kSGB
SGB_725 kSGB
SGB_726 kSGB
SGB_727 kSGB
SGB_728 kSGB
SGB_729 kSGB
SGB_730 kSGB
SGB_731 kSGB
SGB_732 kSGB
SGB_733 kSGB
SGB_734 kSGB
SGB_735 kSGB
SGB_736 kSGB
SGB_737 kSGB
SGB_738 kSGB
SGB_739 kSGB
SGB_740 kSGB
SGB_741 kSGB
SGB_742 kSGB
SGB_743 kSGB
SGB_744 kSGB
SGB_745 kSGB
SGB_746 kSGB
SGB_747 kSGB
SGB_748 kSGB
SGB_749 kSGB
SGB_750 kSGB
SGB_751 kSGB
SGB_752 kSGB
SGB_753 kSGB
SGB_754 kSGB
SGB_755 kSGB
SGB_756 kSGB
SGB_757 kSGB
SGB_758 kSGB
SGB_759 kSGB
SGB_760 kSGB
SGB_761 kSGB
SGB_762 kSGB
SGB_763 kSGB
SGB_764 kSGB
SGB_765 kSGB
SGB_766 kSGB
SGB_767 kSGB
SGB_768 kSGB
SGB_769 kSGB
SGB_770 kSGB
SGB_771 kSGB
SGB_772 kSGB
SGB_773 kSGB
SGB_774 kSGB
SGB_775 kSGB
SGB_776 kSGB
SGB_777 kSGB
SGB_778 kSGB
SGB_779 kSGB
SGB_780 kSGB
SGB_781 kSGB
SGB_782 kSGB
SGB_783 kSGB
SGB_784 kSGB
SGB_785 kSGB
SGB_786 kSGB
SGB_787 kSGB
SGB_788 kSGB
