sample_id	MAGs(HQ&MQ)	uMAGs	kMAGs	studys	country	oral_site
RDPYD18089240	29	3	26	4D_SZ	China	tongue
RDPYD18075179	20	4	16	4D_SZ	China	saliva
ERR589387	5	0	5	ZhangX_2015	China	saliva
RSZYD18187350	26	4	22	4D_SZ	China	saliva
RSZYD18187303	13	3	10	4D_SZ	China	saliva
RSZYD18078441	9	0	9	4D_SZ	China	saliva
ERR589376	39	6	33	ZhangX_2015	China	dental
YS000438	16	3	13	Yunnan	China	saliva
YS000557	2	0	2	Yunnan	China	saliva
RDPYD18088879	25	0	25	4D_SZ	China	tongue
RSZYD18187633	14	1	13	4D_SZ	China	saliva
ERR589600	30	5	25	ZhangX_2015	China	dental
RDPYD18300149	13	1	12	4D_SZ	China	saliva
RSZYD18187994	19	2	17	4D_SZ	China	saliva
RSZYD18187946	15	1	14	4D_SZ	China	saliva
SRR8114072	11	1	10	Heintz_2016	Luxembourg	saliva
ERR2765007	3	0	3	ZellerG_2014	France	saliva
SRR8114077	13	2	11	Heintz_2016	Luxembourg	saliva
YS000161	14	2	12	Yunnan	China	saliva
RDPYD18093599	6	0	6	4D_SZ	China	saliva
ERR589423	1	0	1	ZhangX_2015	China	saliva
RDPYD18189950	39	5	34	4D_SZ	China	saliva
RDPYD18189876	3	0	3	4D_SZ	China	saliva
RDPYD18089318	27	4	23	4D_SZ	China	tongue
RDPYD18300064	3	0	3	4D_SZ	China	saliva
RSZYD18187128	2	0	2	4D_SZ	China	saliva
RSZYD18187919	4	1	3	4D_SZ	China	saliva
RDPYD18300298	12	2	10	4D_SZ	China	saliva
RSZYD18187627	24	3	21	4D_SZ	China	saliva
SRR8114083	10	0	10	Heintz_2016	Luxembourg	saliva
RDPYD18088880	26	3	23	4D_SZ	China	tongue
RSZYD18078725	20	3	17	4D_SZ	China	saliva
RSZYD18078578	19	0	19	4D_SZ	China	saliva
RSZYD18078693	23	4	19	4D_SZ	China	saliva
ERR2764821	11	1	10	ZellerG_2014	Germany	saliva
RDPYD18089334	28	3	25	4D_SZ	China	tongue
RDPYD18300125	4	0	4	4D_SZ	China	saliva
RSZYD18187034	25	3	22	4D_SZ	China	saliva
RSZYD18078673	26	2	24	4D_SZ	China	saliva
RDPYD18189851	1	0	1	4D_SZ	China	saliva
RDPYD18300153	11	1	10	4D_SZ	China	saliva
RDPYD18189875	23	8	15	4D_SZ	China	saliva
RDPYD18189855	12	1	11	4D_SZ	China	saliva
RDPYD18088782	5	1	4	4D_SZ	China	saliva
RSZYD18078101	19	2	17	4D_SZ	China	saliva
ERR2764954	7	0	7	ZellerG_2014	France	saliva
RSZYD18187176	5	0	5	4D_SZ	China	saliva
RDPYD18189940	7	0	7	4D_SZ	China	saliva
RDPYD18300288	16	4	12	4D_SZ	China	saliva
RDPYD18300013	17	1	16	4D_SZ	China	saliva
RSZYD18078398	20	3	17	4D_SZ	China	saliva
YS000294	6	1	5	Yunnan	China	saliva
YS000425	15	3	12	Yunnan	China	saliva
RSZYD18187963	39	5	34	4D_SZ	China	saliva
RSZYD18187313	5	2	3	4D_SZ	China	saliva
RSZYD18078012	6	1	5	4D_SZ	China	saliva
RSZYD18187872	18	3	15	4D_SZ	China	saliva
YS000003	9	1	8	Yunnan	China	saliva
RSZYD18187014	17	3	14	4D_SZ	China	saliva
RDPYD18300262	27	2	25	4D_SZ	China	saliva
RDPYD18075165	10	0	10	4D_SZ	China	saliva
RSZYD18078712	5	0	5	4D_SZ	China	saliva
RDPYD18088861	25	4	21	4D_SZ	China	tongue
RDPYD18088908	12	2	10	4D_SZ	China	tongue
RDPYD18189932	25	3	22	4D_SZ	China	saliva
YS000891	3	0	3	Yunnan	China	saliva
RSZYD18187130	24	3	21	4D_SZ	China	saliva
YS000369	6	0	6	Yunnan	China	saliva
RSZYD18078487	19	3	16	4D_SZ	China	saliva
RSZYD18078020	31	1	30	4D_SZ	China	saliva
RDPYD18089231	14	1	13	4D_SZ	China	tongue
RDPYD18089247	23	2	21	4D_SZ	China	tongue
RDPYD18300054	11	3	8	4D_SZ	China	saliva
YS000515	10	1	9	Yunnan	China	saliva
RDPYD18089302	27	3	24	4D_SZ	China	tongue
RSZYD18187006	12	0	12	4D_SZ	China	saliva
RSZYD18187598	14	4	10	4D_SZ	China	saliva
RSZYD18187484	27	6	21	4D_SZ	China	saliva
YS000045	7	1	6	Yunnan	China	saliva
YS000142	7	1	6	Yunnan	China	saliva
RDPYD18089269	38	6	32	4D_SZ	China	tongue
RDPYD18089340	39	8	31	4D_SZ	China	tongue
RDPYD18189928	17	4	13	4D_SZ	China	saliva
RDPYD18189959	16	2	14	4D_SZ	China	saliva
RSZYD18187529	12	1	11	4D_SZ	China	saliva
RSZYD18187874	32	5	27	4D_SZ	China	saliva
RDPYD18300047	4	0	4	4D_SZ	China	saliva
YS000727	17	2	15	Yunnan	China	saliva
RSZYD18078604	23	1	22	4D_SZ	China	saliva
ERR589391	6	0	6	ZhangX_2015	China	saliva
