sample_id	MAGs(HQ&MQ)	uMAGs	kMAGs	studys	country	oral_site
YS000588	11	2	9	Yunnan	China	saliva
ERR589693	25	3	22	ZhangX_2015	China	saliva
RDPYD18089294	34	3	31	4D_SZ	China	tongue
RDPYD18088873	35	3	32	4D_SZ	China	tongue
RDPYD18300115	4	0	4	4D_SZ	China	saliva
RSZYD18078769	22	4	18	4D_SZ	China	saliva
RSZYD18187554	14	2	12	4D_SZ	China	saliva
RSZYD18187151	4	0	4	4D_SZ	China	saliva
ERR589723	15	5	10	ZhangX_2015	China	saliva
RDPYD18088910	26	4	22	4D_SZ	China	tongue
RDPYD18189941	6	0	6	4D_SZ	China	saliva
RDPYD18189881	7	2	5	4D_SZ	China	saliva
RDPYD18300371	15	4	11	4D_SZ	China	saliva
RDPYD18088784	7	2	5	4D_SZ	China	saliva
RDPYD18300139	17	3	14	4D_SZ	China	saliva
RDPYD18088794	1	1	0	4D_SZ	China	saliva
RSZYD18187705	22	4	18	4D_SZ	China	saliva
YS000034	10	2	8	Yunnan	China	saliva
ERR2764844	1	0	1	ZellerG_2014	France	saliva
RSZYD18187020	21	3	18	4D_SZ	China	saliva
YS000444	14	4	10	Yunnan	China	saliva
YS000442	16	2	14	Yunnan	China	saliva
RDPYD18089364	26	2	24	4D_SZ	China	tongue
RSZYD18187624	29	6	23	4D_SZ	China	saliva
YS000170	2	1	1	Yunnan	China	saliva
ERR2764948	4	2	2	ZellerG_2014	France	saliva
RSZYD18187848	10	0	10	4D_SZ	China	saliva
YS000303	2	1	1	Yunnan	China	saliva
RSZYD18078686	3	0	3	4D_SZ	China	saliva
RDPYD18189970	10	1	9	4D_SZ	China	saliva
RDPYD18189895	7	1	6	4D_SZ	China	saliva
YS000322	14	2	12	Yunnan	China	saliva
RDPYD18089345	18	2	16	4D_SZ	China	tongue
RDPYD18089275	7	0	7	4D_SZ	China	tongue
RSZYD18078609	21	3	18	4D_SZ	China	saliva
SRS476038	1	0	1	IlanaB_2019	Fiji	saliva
RDPYD18189803	8	0	8	4D_SZ	China	saliva
YS001127	13	3	10	Yunnan	China	saliva
RSZYD18078350	6	1	5	4D_SZ	China	saliva
RDPYD18189987	21	5	16	4D_SZ	China	saliva
RSZYD18187232	12	1	11	4D_SZ	China	saliva
YS000933	4	1	3	Yunnan	China	saliva
RSZYD18187032	11	1	10	4D_SZ	China	saliva
RDPYD18088972	7	0	7	4D_SZ	China	saliva
RSZYD18187961	15	2	13	4D_SZ	China	saliva
ERR2764792	1	0	1	ZellerG_2014	Germany	saliva
RSZYD18187716	1	0	1	4D_SZ	China	saliva
RDPYD18190870	35	7	28	4D_SZ	China	tongue
ERR589649	23	3	20	ZhangX_2015	China	dental
YS000465	3	1	2	Yunnan	China	saliva
RDPYD18300363	17	3	14	4D_SZ	China	saliva
RSZYD18187049	6	1	5	4D_SZ	China	saliva
RSZYD18078450	9	0	9	4D_SZ	China	saliva
RSZYD18187954	8	0	8	4D_SZ	China	saliva
YS000688	3	1	2	Yunnan	China	saliva
RSZYD18187286	6	1	5	4D_SZ	China	saliva
RSZYD18078545	20	0	20	4D_SZ	China	saliva
RDPYD18075183	10	3	7	4D_SZ	China	saliva
SRS476208	1	0	1	IlanaB_2019	Fiji	saliva
RDPYD18088993	28	2	26	4D_SZ	China	tongue
RSZYD18187133	8	1	7	4D_SZ	China	saliva
YS000936	1	0	1	Yunnan	China	saliva
RDPYD18088981	18	5	13	4D_SZ	China	saliva
RSZYD18078651	12	1	11	4D_SZ	China	saliva
YS001158	1	1	0	Yunnan	China	saliva
RSZYD18078530	4	1	3	4D_SZ	China	saliva
RSZYD18078259	12	3	9	4D_SZ	China	saliva
RSZYD18187509	27	3	24	4D_SZ	China	saliva
SRR6748182	3	0	3	GoltsmanDSA_2018	USA	saliva
RSZYD18187644	30	5	25	4D_SZ	China	saliva
RSZYD18078455	9	0	9	4D_SZ	China	saliva
RDPYD18300070	5	0	5	4D_SZ	China	saliva
RSZYD18187597	17	3	14	4D_SZ	China	saliva
RSZYD18078247	8	1	7	4D_SZ	China	saliva
RSZYD18078704	4	0	4	4D_SZ	China	saliva
RSZYD18187502	7	0	7	4D_SZ	China	saliva
YS000204	21	3	18	Yunnan	China	saliva
SRR8114076	21	1	20	Heintz_2016	Luxembourg	saliva
YS000470	18	3	15	Yunnan	China	saliva
YS000923	16	4	12	Yunnan	China	saliva
RSZYD18078608	9	1	8	4D_SZ	China	saliva
RSZYD18088555	20	0	20	4D_SZ	China	tongue
SRS476073	1	0	1	IlanaB_2019	Fiji	saliva
RDPYD18190859	32	4	28	4D_SZ	China	tongue
RSZYD18078015	16	1	15	4D_SZ	China	saliva
RSZYD18078403	22	5	17	4D_SZ	China	saliva
RDPYD18088967	15	3	12	4D_SZ	China	saliva
RSZYD18078482	21	4	17	4D_SZ	China	saliva
RSZYD18187895	12	2	10	4D_SZ	China	saliva
YS000066	16	1	15	Yunnan	China	saliva
YS000692	2	0	2	Yunnan	China	saliva
RSZYD18187405	33	2	31	4D_SZ	China	saliva
RSZYD18187204	16	5	11	4D_SZ	China	saliva
RSZYD18078422	14	2	12	4D_SZ	China	saliva
RDPYD18300196	8	2	6	4D_SZ	China	saliva
RDPYD18300109	8	0	8	4D_SZ	China	saliva
YS000977	4	1	3	Yunnan	China	saliva
RSZYD18187650	27	1	26	4D_SZ	China	saliva
RSZYD18078611	4	0	4	4D_SZ	China	saliva
RDPYD18088824	8	3	5	4D_SZ	China	saliva
RSZYD18187231	25	3	22	4D_SZ	China	saliva
RSZYD18187935	9	2	7	4D_SZ	China	saliva
RDPYD18190841	28	3	25	4D_SZ	China	tongue
RDPYD18300255	16	2	14	4D_SZ	China	saliva
RDPYD18300377	19	5	14	4D_SZ	China	saliva
RDPYD18300328	27	8	19	4D_SZ	China	saliva
RSZYD18078756	17	3	14	4D_SZ	China	saliva
RDPYD18189900	3	0	3	4D_SZ	China	saliva
RSZYD18187327	21	0	21	4D_SZ	China	saliva
YS001096	2	1	1	Yunnan	China	saliva
RSZYD18187267	27	4	23	4D_SZ	China	saliva
RDPYD18089282	20	4	16	4D_SZ	China	tongue
RSZYD18187464	18	4	14	4D_SZ	China	saliva
RSZYD18078795	22	3	19	4D_SZ	China	saliva
RSZYD18187072	20	5	15	4D_SZ	China	saliva
RSZYD18187307	5	0	5	4D_SZ	China	saliva
ERR2764817	3	1	2	ZellerG_2014	Germany	saliva
RSZYD18078719	24	6	18	4D_SZ	China	saliva
RDPYD18089304	14	1	13	4D_SZ	China	tongue
RSZYD18078475	6	3	3	4D_SZ	China	saliva
SRR8114045	8	1	7	Heintz_2016	Luxembourg	saliva
RSZYD18187615	33	6	27	4D_SZ	China	saliva
RDPYD18089321	25	2	23	4D_SZ	China	tongue
RSZYD18187648	4	2	2	4D_SZ	China	saliva
RDPYD18300044	2	0	2	4D_SZ	China	saliva
RSZYD18187904	14	3	11	4D_SZ	China	saliva
YS000255	12	1	11	Yunnan	China	saliva
ERR589454	29	3	26	ZhangX_2015	China	dental
RDPYD18075171	11	1	10	4D_SZ	China	saliva
YS000284	7	0	7	Yunnan	China	saliva
RDPYD18190866	22	2	20	4D_SZ	China	tongue
YS000423	10	0	10	Yunnan	China	saliva
RDPYD18300251	6	1	5	4D_SZ	China	saliva
RDPYD18300161	7	0	7	4D_SZ	China	saliva
ERR589444	39	9	30	ZhangX_2015	China	dental
RDPYD18088939	25	2	23	4D_SZ	China	tongue
RDPYD18189825	18	1	17	4D_SZ	China	saliva
SRR6748107	5	0	5	GoltsmanDSA_2018	USA	saliva
RDPYD18089291	25	2	23	4D_SZ	China	tongue
RDPYD18189835	40	10	30	4D_SZ	China	saliva
ERR589728	17	2	15	ZhangX_2015	China	saliva
RSZYD18187104	4	0	4	4D_SZ	China	saliva
YS001025	9	1	8	Yunnan	China	saliva
SRS476150	1	0	1	IlanaB_2019	Fiji	saliva
RSZYD18078565	21	5	16	4D_SZ	China	saliva
ERR589360	38	10	28	ZhangX_2015	China	dental
RSZYD18078589	9	1	8	4D_SZ	China	saliva
RDPYD18088992	32	3	29	4D_SZ	China	tongue
RSZYD18187037	21	2	19	4D_SZ	China	saliva
RDPYD18300184	8	2	6	4D_SZ	China	saliva
RSZYD18187102	8	0	8	4D_SZ	China	saliva
RSZYD18187126	13	1	12	4D_SZ	China	saliva
RSZYD18187003	26	3	23	4D_SZ	China	saliva
RDPYD18300076	20	2	18	4D_SZ	China	saliva
YS000310	16	3	13	Yunnan	China	saliva
YS000412	14	4	10	Yunnan	China	saliva
RDPYD18093621	25	2	23	4D_SZ	China	tongue
ERR589666	35	10	25	ZhangX_2015	China	dental
RSZYD18187884	24	2	22	4D_SZ	China	saliva
YS000511	3	0	3	Yunnan	China	saliva
RSZYD18078668	8	2	6	4D_SZ	China	saliva
RSZYD18187682	9	0	9	4D_SZ	China	saliva
YS000298	30	4	26	Yunnan	China	saliva
RSZYD18187910	37	4	33	4D_SZ	China	saliva
RSZYD18187343	10	0	10	4D_SZ	China	saliva
RSZYD18078809	34	3	31	4D_SZ	China	saliva
RSZYD18187692	5	0	5	4D_SZ	China	saliva
RSZYD18187929	24	2	22	4D_SZ	China	saliva
RDPYD18300176	7	2	5	4D_SZ	China	saliva
SRR8114010	19	1	18	Heintz_2016	Luxembourg	saliva
RDPYD18300386	9	0	9	4D_SZ	China	saliva
RSZYD18078720	5	2	3	4D_SZ	China	saliva
ERR589349	13	1	12	ZhangX_2015	China	saliva
RSZYD18187480	21	1	20	4D_SZ	China	saliva
RSZYD18078485	17	2	15	4D_SZ	China	saliva
RDPYD18075170	15	3	12	4D_SZ	China	saliva
ERR2764926	8	1	7	ZellerG_2014	France	saliva
ERR2764852	3	0	3	ZellerG_2014	France	saliva
SRS475588	1	0	1	IlanaB_2019	Fiji	saliva
RSZYD18078522	6	1	5	4D_SZ	China	saliva
RSZYD18078808	10	1	9	4D_SZ	China	saliva
RDPYD18189867	18	5	13	4D_SZ	China	saliva
RDPYD18189827	11	4	7	4D_SZ	China	saliva
RSZYD18187293	16	2	14	4D_SZ	China	saliva
YS000301	7	0	7	Yunnan	China	saliva
YS000251	4	2	2	Yunnan	China	saliva
YS000437	11	2	9	Yunnan	China	saliva
RDPYD18300102	7	2	5	4D_SZ	China	saliva
RDPYD18300296	15	1	14	4D_SZ	China	saliva
RDPYD18089004	21	0	21	4D_SZ	China	tongue
ERR589429	3	0	3	ZhangX_2015	China	saliva
RSZYD18078122	8	3	5	4D_SZ	China	saliva
RDPYD18300152	13	1	12	4D_SZ	China	saliva
RDPYD18089354	13	2	11	4D_SZ	China	tongue
SRR6748157	6	1	5	GoltsmanDSA_2018	USA	saliva
RDPYD18300037	10	0	10	4D_SZ	China	saliva
ERR589405	14	2	12	ZhangX_2015	China	saliva
RDPYD18089341	9	1	8	4D_SZ	China	tongue
YS000244	6	1	5	Yunnan	China	saliva
YS000314	10	3	7	Yunnan	China	saliva
RSZYD18187334	9	1	8	4D_SZ	China	saliva
YS000513	21	2	19	Yunnan	China	saliva
RSZYD18187211	10	2	8	4D_SZ	China	saliva
YS000263	2	0	2	Yunnan	China	saliva
RSZYD18078306	13	2	11	4D_SZ	China	saliva
RSZYD18078060	9	0	9	4D_SZ	China	saliva
RSZYD18088553	13	2	11	4D_SZ	China	tongue
ERR589484	35	6	29	ZhangX_2015	China	dental
RSZYD18187835	16	2	14	4D_SZ	China	saliva
RDPYD18190839	18	3	15	4D_SZ	China	tongue
ERR589405	22	3	19	ZhangX_2015	China	saliva
RSZYD18187107	4	0	4	4D_SZ	China	saliva
RDPYD18089265	26	1	25	4D_SZ	China	tongue
RSZYD18187779	6	0	6	4D_SZ	China	saliva
RSZYD18187675	24	2	22	4D_SZ	China	saliva
RSZYD18187122	17	1	16	4D_SZ	China	saliva
ERR589447	26	4	22	ZhangX_2015	China	dental
RSZYD18078355	23	3	20	4D_SZ	China	saliva
SRR6748115	6	1	5	GoltsmanDSA_2018	USA	saliva
RSZYD18187041	5	0	5	4D_SZ	China	saliva
RSZYD18187005	8	1	7	4D_SZ	China	saliva
RDPYD18189826	8	2	6	4D_SZ	China	saliva
YS001038	5	0	5	Yunnan	China	saliva
YS001123	6	0	6	Yunnan	China	saliva
RSZYD18078164	8	1	7	4D_SZ	China	saliva
RDPYD18089251	34	5	29	4D_SZ	China	tongue
ERR589474	29	5	24	ZhangX_2015	China	dental
ERR2764993	4	0	4	ZellerG_2014	France	saliva
RDPYD18088883	20	4	16	4D_SZ	China	tongue
ERR589671	3	1	2	ZhangX_2015	China	saliva
RDPYD18300130	11	1	10	4D_SZ	China	saliva
SRR8114063	18	0	18	Heintz_2016	Luxembourg	saliva
RDPYD18088960	12	1	11	4D_SZ	China	saliva
YS001012	7	0	7	Yunnan	China	saliva
ERR589677	27	2	25	ZhangX_2015	China	saliva
YS000695	6	2	4	Yunnan	China	saliva
ERR2764971	6	1	5	ZellerG_2014	France	saliva
SRR8114009	17	2	15	Heintz_2016	Luxembourg	saliva
RSZYD18078099	9	1	8	4D_SZ	China	saliva
RSZYD18187574	4	1	3	4D_SZ	China	saliva
RSZYD18078751	21	0	21	4D_SZ	China	saliva
RSZYD18078580	7	1	6	4D_SZ	China	saliva
RDPYD18089324	19	4	15	4D_SZ	China	tongue
ERR589624	29	2	27	ZhangX_2015	China	dental
ERR589437	26	3	23	ZhangX_2015	China	saliva
ERR2764920	6	0	6	ZellerG_2014	France	saliva
ERR2764901	12	2	10	ZellerG_2014	France	saliva
RDPYD18189968	19	3	16	4D_SZ	China	saliva
SRS475593	1	0	1	IlanaB_2019	Fiji	saliva
ERR589355	25	5	20	ZhangX_2015	China	dental
YS000235	15	3	12	Yunnan	China	saliva
RDPYD18189955	5	0	5	4D_SZ	China	saliva
RDPYD18300367	1	0	1	4D_SZ	China	saliva
RSZYD18187534	22	9	13	4D_SZ	China	saliva
RSZYD18088562	21	4	17	4D_SZ	China	tongue
RDPYD18189998	7	1	6	4D_SZ	China	saliva
RSZYD18093182	26	0	26	4D_SZ	China	tongue
RDPYD18300073	4	0	4	4D_SZ	China	saliva
RSZYD18078323	2	0	2	4D_SZ	China	saliva
YS001076	6	1	5	Yunnan	China	saliva
YS000272	9	0	9	Yunnan	China	saliva
RSZYD18078510	11	2	9	4D_SZ	China	saliva
ERR589721	18	1	17	ZhangX_2015	China	saliva
SRR8114074	1	0	1	Heintz_2016	Luxembourg	saliva
RSZYD18187637	12	0	12	4D_SZ	China	saliva
RDPYD18088800	19	2	17	4D_SZ	China	saliva
RSZYD18187934	7	2	5	4D_SZ	China	saliva
YS000146	1	0	1	Yunnan	China	saliva
RSZYD18078405	45	9	36	4D_SZ	China	saliva
ERR589359	25	2	23	ZhangX_2015	China	dental
ERR2764953	3	0	3	ZellerG_2014	France	saliva
RSZYD18078483	36	4	32	4D_SZ	China	saliva
RDPYD18300244	3	0	3	4D_SZ	China	saliva
RDPYD18079687	25	3	22	4D_SZ	China	tongue
RDPYD18300015	21	3	18	4D_SZ	China	saliva
ERR589637	30	3	27	ZhangX_2015	China	dental
RSZYD18078523	8	0	8	4D_SZ	China	saliva
YS000002	5	0	5	Yunnan	China	saliva
RDPYD18300192	23	7	16	4D_SZ	China	saliva
RSZYD18078070	8	2	6	4D_SZ	China	saliva
SRR8114081	1	0	1	Heintz_2016	Luxembourg	saliva
RDPYD18089255	18	2	16	4D_SZ	China	tongue
RSZYD18187068	7	0	7	4D_SZ	China	saliva
RDPYD18089310	38	3	35	4D_SZ	China	tongue
YS000168	1	0	1	Yunnan	China	saliva
ERR589645	32	5	27	ZhangX_2015	China	dental
YS000652	10	2	8	Yunnan	China	saliva
RSZYD18078397	7	0	7	4D_SZ	China	saliva
RSZYD18078256	11	3	8	4D_SZ	China	saliva
RSZYD18187306	7	2	5	4D_SZ	China	saliva
RSZYD18187378	13	0	13	4D_SZ	China	saliva
RSZYD18187562	14	1	13	4D_SZ	China	saliva
RSZYD18187117	17	0	17	4D_SZ	China	saliva
RDPYD18189853	14	0	14	4D_SZ	China	saliva
RDPYD18189931	12	1	11	4D_SZ	China	saliva
RDPYD18088781	17	4	13	4D_SZ	China	saliva
RSZYD18187144	23	4	19	4D_SZ	China	saliva
RSZYD18078257	10	2	8	4D_SZ	China	saliva
RDPYD18089237	23	2	21	4D_SZ	China	tongue
SRR6748088	1	0	1	GoltsmanDSA_2018	USA	saliva
RDPYD18189893	14	1	13	4D_SZ	China	saliva
RSZYD18187326	11	1	10	4D_SZ	China	saliva
RSZYD18187844	10	3	7	4D_SZ	China	saliva
YS000399	2	0	2	Yunnan	China	saliva
RSZYD18187048	11	0	11	4D_SZ	China	saliva
RSZYD18187419	13	1	12	4D_SZ	China	saliva
RDPYD18300301	2	1	1	4D_SZ	China	saliva
YS000479	9	0	9	Yunnan	China	saliva
RSZYD18078569	24	4	20	4D_SZ	China	saliva
RSZYD18187162	4	0	4	4D_SZ	China	saliva
RSZYD18078586	7	1	6	4D_SZ	China	saliva
RSZYD18187944	6	0	6	4D_SZ	China	saliva
RDPYD18093600	12	0	12	4D_SZ	China	saliva
SRR6748002	1	1	0	GoltsmanDSA_2018	USA	saliva
RSZYD18187645	3	0	3	4D_SZ	China	saliva
RDPYD18089241	26	3	23	4D_SZ	China	tongue
RSZYD18187693	14	1	13	4D_SZ	China	saliva
YS000420	1	0	1	Yunnan	China	saliva
RSZYD18187672	7	0	7	4D_SZ	China	saliva
RSZYD18078500	3	1	2	4D_SZ	China	saliva
RSZYD18187114	13	2	11	4D_SZ	China	saliva
RDPYD18088996	23	5	18	4D_SZ	China	tongue
RSZYD18078254	7	1	6	4D_SZ	China	saliva
RDPYD18089305	24	2	22	4D_SZ	China	tongue
RDPYD18093620	34	7	27	4D_SZ	China	tongue
RSZYD18078761	10	0	10	4D_SZ	China	saliva
YS000528	1	0	1	Yunnan	China	saliva
RSZYD18078559	5	2	3	4D_SZ	China	saliva
SRS475685	7	2	5	IlanaB_2019	Fiji	saliva
RDPYD18300286	25	5	20	4D_SZ	China	saliva
YS000730	13	2	11	Yunnan	China	saliva
RSZYD18078493	7	1	6	4D_SZ	China	saliva
YS000545	14	2	12	Yunnan	China	saliva
RSZYD18078772	21	1	20	4D_SZ	China	saliva
RSZYD18187124	40	6	34	4D_SZ	China	saliva
RSZYD18187138	6	0	6	4D_SZ	China	saliva
RDPYD18088937	26	2	24	4D_SZ	China	tongue
YS000433	15	1	14	Yunnan	China	saliva
RSZYD18078616	18	2	16	4D_SZ	China	saliva
RDPYD18088957	8	0	8	4D_SZ	China	saliva
RDPYD18089288	23	4	19	4D_SZ	China	tongue
YS000631	9	0	9	Yunnan	China	saliva
YS000455	17	1	16	Yunnan	China	saliva
RSZYD18187611	15	2	13	4D_SZ	China	saliva
RSZYD18187120	36	5	31	4D_SZ	China	saliva
YS000723	5	0	5	Yunnan	China	saliva
RSZYD18078126	8	1	7	4D_SZ	China	saliva
RSZYD18078100	30	3	27	4D_SZ	China	saliva
RDPYD18089253	25	4	21	4D_SZ	China	tongue
YS000940	4	0	4	Yunnan	China	saliva
RDPYD18300370	14	3	11	4D_SZ	China	saliva
ERR2764947	4	2	2	ZellerG_2014	France	saliva
YS000937	5	1	4	Yunnan	China	saliva
YS000048	14	2	12	Yunnan	China	saliva
SRR8114053	19	0	19	Heintz_2016	Luxembourg	saliva
RSZYD18187709	12	1	11	4D_SZ	China	saliva
ERR2764820	11	2	9	ZellerG_2014	Germany	saliva
SRR6748185	8	0	8	GoltsmanDSA_2018	USA	saliva
YS000736	6	2	4	Yunnan	China	saliva
RDPYD18190846	15	1	14	4D_SZ	China	tongue
RSZYD18187010	1	0	1	4D_SZ	China	saliva
RSZYD18078332	8	1	7	4D_SZ	China	saliva
RDPYD18300342	15	3	12	4D_SZ	China	saliva
YS000677	21	4	17	Yunnan	China	saliva
YS000382	17	2	15	Yunnan	China	saliva
RSZYD18187116	12	0	12	4D_SZ	China	saliva
ERR589521	5	0	5	ZhangX_2015	China	saliva
SRR8114035	18	1	17	Heintz_2016	Luxembourg	saliva
RDPYD18300171	17	1	16	4D_SZ	China	saliva
YS000004	7	0	7	Yunnan	China	saliva
RSZYD18187375	4	2	2	4D_SZ	China	saliva
RSZYD18088545	31	6	25	4D_SZ	China	tongue
RDPYD18088948	34	4	30	4D_SZ	China	tongue
RSZYD18187778	10	2	8	4D_SZ	China	saliva
RDPYD18089308	30	2	28	4D_SZ	China	tongue
SRR6748018	3	0	3	GoltsmanDSA_2018	USA	saliva
RSZYD18187197	16	2	14	4D_SZ	China	saliva
RDPYD18093590	21	4	17	4D_SZ	China	saliva
YS000480	14	3	11	Yunnan	China	saliva
RDPYD18189874	23	4	19	4D_SZ	China	saliva
RSZYD18187957	9	0	9	4D_SZ	China	saliva
SRR8114079	2	1	1	Heintz_2016	Luxembourg	saliva
ERR589351	24	2	22	ZhangX_2015	China	dental
RSZYD18187720	18	2	16	4D_SZ	China	saliva
RSZYD18078453	26	2	24	4D_SZ	China	saliva
RSZYD18078566	13	1	12	4D_SZ	China	saliva
RSZYD18078304	25	2	23	4D_SZ	China	saliva
RSZYD18078674	32	2	30	4D_SZ	China	saliva
YS000021	12	1	11	Yunnan	China	saliva
RSZYD18187765	6	1	5	4D_SZ	China	saliva
RDPYD18300166	8	2	6	4D_SZ	China	saliva
RSZYD18187548	3	0	3	4D_SZ	China	saliva
RDPYD18089262	32	2	30	4D_SZ	China	tongue
YS000625	13	2	11	Yunnan	China	saliva
RSZYD18078636	11	0	11	4D_SZ	China	saliva
RSZYD18078649	10	1	9	4D_SZ	China	saliva
RSZYD18078778	21	2	19	4D_SZ	China	saliva
YS000119	13	2	11	Yunnan	China	saliva
RSZYD18078764	18	3	15	4D_SZ	China	saliva
RDPYD18189995	17	4	13	4D_SZ	China	saliva
RDPYD18088891	16	3	13	4D_SZ	China	tongue
ERR589717	27	4	23	ZhangX_2015	China	saliva
RDPYD18300282	4	0	4	4D_SZ	China	saliva
ERR589628	36	7	29	ZhangX_2015	China	dental
RSZYD18187081	21	3	18	4D_SZ	China	saliva
YS000052	5	1	4	Yunnan	China	saliva
RSZYD18187759	23	2	21	4D_SZ	China	saliva
ERR2764931	6	0	6	ZellerG_2014	France	saliva
RDPYD18088868	22	2	20	4D_SZ	China	tongue
ERR589403	15	0	15	ZhangX_2015	China	saliva
YS000256	1	1	0	Yunnan	China	saliva
RDPYD18300009	18	1	17	4D_SZ	China	saliva
RSZYD18187887	17	2	15	4D_SZ	China	saliva
RDPYD18189822	5	0	5	4D_SZ	China	saliva
RDPYD18089234	26	3	23	4D_SZ	China	tongue
RSZYD18187728	31	2	29	4D_SZ	China	saliva
RDPYD18093604	12	1	11	4D_SZ	China	saliva
RSZYD18187670	7	0	7	4D_SZ	China	saliva
RDPYD18300265	13	1	12	4D_SZ	China	saliva
ERR589611	23	2	21	ZhangX_2015	China	dental
YS000463	5	1	4	Yunnan	China	saliva
ERR2764942	3	0	3	ZellerG_2014	France	saliva
ERR589680	22	2	20	ZhangX_2015	China	saliva
RSZYD18187810	5	0	5	4D_SZ	China	saliva
YS000739	16	2	14	Yunnan	China	saliva
YS000883	8	0	8	Yunnan	China	saliva
RSZYD18078443	27	5	22	4D_SZ	China	saliva
RDPYD18189979	10	2	8	4D_SZ	China	saliva
ERR589652	25	5	20	ZhangX_2015	China	dental
ERR589367	36	8	28	ZhangX_2015	China	dental
RSZYD18078656	20	1	19	4D_SZ	China	saliva
RDPYD18088876	27	3	24	4D_SZ	China	tongue
RSZYD18078452	20	3	17	4D_SZ	China	saliva
RSZYD18078442	25	4	21	4D_SZ	China	saliva
YS000731	2	0	2	Yunnan	China	saliva
RSZYD18187930	3	0	3	4D_SZ	China	saliva
YS001027	4	1	3	Yunnan	China	saliva
RSZYD18187556	9	1	8	4D_SZ	China	saliva
RSZYD18187714	20	1	19	4D_SZ	China	saliva
RDPYD18088812	6	1	5	4D_SZ	China	saliva
RDPYD18189922	28	6	22	4D_SZ	China	saliva
YS000732	2	2	0	Yunnan	China	saliva
RSZYD18078588	6	1	5	4D_SZ	China	saliva
YS001063	8	2	6	Yunnan	China	saliva
RSZYD18187193	19	3	16	4D_SZ	China	saliva
SRR8114089	3	0	3	Heintz_2016	Luxembourg	saliva
ERR2764892	4	0	4	ZellerG_2014	France	saliva
RSZYD18078703	17	5	12	4D_SZ	China	saliva
YS000147	4	0	4	Yunnan	China	saliva
SRR6748023	3	0	3	GoltsmanDSA_2018	USA	saliva
SRR8114084	20	1	19	Heintz_2016	Luxembourg	saliva
RSZYD18187457	12	2	10	4D_SZ	China	saliva
RSZYD18078241	16	2	14	4D_SZ	China	saliva
YS000994	16	0	16	Yunnan	China	saliva
RDPYD18300258	8	0	8	4D_SZ	China	saliva
SRR6748158	5	0	5	GoltsmanDSA_2018	USA	saliva
RDPYD18093596	10	1	9	4D_SZ	China	saliva
YS001132	13	2	11	Yunnan	China	saliva
RDPYD18189963	7	2	5	4D_SZ	China	saliva
RSZYD18078640	11	0	11	4D_SZ	China	saliva
RSZYD18078713	18	3	15	4D_SZ	China	saliva
RDPYD18088840	11	1	10	4D_SZ	China	saliva
SRR6748077	7	1	6	GoltsmanDSA_2018	USA	saliva
RDPYD18300039	23	2	21	4D_SZ	China	saliva
RSZYD18187653	17	4	13	4D_SZ	China	saliva
RDPYD18088950	7	0	7	4D_SZ	China	saliva
RSZYD18078045	5	0	5	4D_SZ	China	saliva
RSZYD18088561	25	2	23	4D_SZ	China	tongue
RDPYD18300077	4	1	3	4D_SZ	China	saliva
RDPYD18088821	5	0	5	4D_SZ	China	saliva
ERR2764902	11	2	9	ZellerG_2014	France	saliva
RSZYD18187771	2	0	2	4D_SZ	China	saliva
RSZYD18078022	9	0	9	4D_SZ	China	saliva
RSZYD18078133	15	1	14	4D_SZ	China	saliva
RSZYD18187659	5	1	4	4D_SZ	China	saliva
SRR8114021	8	0	8	Heintz_2016	Luxembourg	saliva
RSZYD18187856	8	0	8	4D_SZ	China	saliva
ERR589682	29	4	25	ZhangX_2015	China	saliva
RDPYD18300361	31	3	28	4D_SZ	China	saliva
RSZYD18078662	2	1	1	4D_SZ	China	saliva
RSZYD18187246	13	0	13	4D_SZ	China	saliva
RDPYD18088907	15	1	14	4D_SZ	China	tongue
RSZYD18187258	24	6	18	4D_SZ	China	saliva
ERR589684	30	6	24	ZhangX_2015	China	saliva
RSZYD18078711	3	0	3	4D_SZ	China	saliva
RSZYD18187336	27	5	22	4D_SZ	China	saliva
RDPYD18189894	9	1	8	4D_SZ	China	saliva
RDPYD18300376	9	1	8	4D_SZ	China	saliva
RDPYD18189811	14	3	11	4D_SZ	China	saliva
RSZYD18187863	14	2	12	4D_SZ	China	saliva
RDPYD18300114	8	1	7	4D_SZ	China	saliva
SRS476201	4	1	3	IlanaB_2019	Fiji	saliva
YS001120	2	0	2	Yunnan	China	saliva
RDPYD18089353	35	3	32	4D_SZ	China	tongue
RSZYD18078186	17	1	16	4D_SZ	China	saliva
YS001122	5	0	5	Yunnan	China	saliva
RSZYD18078779	1	0	1	4D_SZ	China	saliva
RSZYD18078113	9	0	9	4D_SZ	China	saliva
SRR6748098	2	0	2	GoltsmanDSA_2018	USA	saliva
RDPYD18189885	7	3	4	4D_SZ	China	saliva
RSZYD18078163	12	5	7	4D_SZ	China	saliva
YS000379	9	1	8	Yunnan	China	saliva
YS000624	17	3	14	Yunnan	China	saliva
RDPYD18300366	2	0	2	4D_SZ	China	saliva
RSZYD18078516	14	0	14	4D_SZ	China	saliva
RSZYD18078718	27	3	24	4D_SZ	China	saliva
RDPYD18300248	17	0	17	4D_SZ	China	saliva
RSZYD18078143	7	1	6	4D_SZ	China	saliva
SRS476046	2	0	2	IlanaB_2019	Fiji	saliva
RDPYD18089026	42	8	34	4D_SZ	China	tongue
