sample_id	COG_id	gene_num
RDPYD18089232_A_togue.metaspades.bin.5	T	6
RDPYD18089232_A_togue.metaspades.bin.5	nohit	108
RSZYD18078785_A_saliva.metaspades.bin.23	J	130
RSZYD18078785_A_saliva.metaspades.bin.23	S	72
RSZYD18078785_A_saliva.metaspades.bin.23	O	20
RSZYD18078785_A_saliva.metaspades.bin.23	L	61
RSZYD18078785_A_saliva.metaspades.bin.23	N	4
RSZYD18078785_A_saliva.metaspades.bin.23	T	6
RSZYD18078785_A_saliva.metaspades.bin.23	D	12
RSZYD18078785_A_saliva.metaspades.bin.23	P	31
RSZYD18078785_A_saliva.metaspades.bin.23	K	24
RSZYD18078785_A_saliva.metaspades.bin.23	F	24
RSZYD18078785_A_saliva.metaspades.bin.23	C	16
RSZYD18078785_A_saliva.metaspades.bin.23	G	15
RSZYD18078785_A_saliva.metaspades.bin.23	H	19
RSZYD18078785_A_saliva.metaspades.bin.23	U	8
RSZYD18078785_A_saliva.metaspades.bin.23	I	14
RSZYD18078785_A_saliva.metaspades.bin.23	E	20
RSZYD18078785_A_saliva.metaspades.bin.23	V	12
RSZYD18078785_A_saliva.metaspades.bin.23	M	9
RSZYD18078785_A_saliva.metaspades.bin.23	Q	6
RSZYD18078785_A_saliva.metaspades.bin.23	Z	1
RSZYD18078785_A_saliva.metaspades.bin.23	nohit	123
RDPYD18300297_A_saliva.metaspades.bin.2	P	31
RDPYD18300297_A_saliva.metaspades.bin.2	L	66
RDPYD18300297_A_saliva.metaspades.bin.2	H	17
RDPYD18300297_A_saliva.metaspades.bin.2	N	6
RDPYD18300297_A_saliva.metaspades.bin.2	K	24
RDPYD18300297_A_saliva.metaspades.bin.2	J	131
RDPYD18300297_A_saliva.metaspades.bin.2	F	26
RDPYD18300297_A_saliva.metaspades.bin.2	O	23
RDPYD18300297_A_saliva.metaspades.bin.2	E	23
RDPYD18300297_A_saliva.metaspades.bin.2	M	9
RDPYD18300297_A_saliva.metaspades.bin.2	Q	6
RDPYD18300297_A_saliva.metaspades.bin.2	T	8
RDPYD18300297_A_saliva.metaspades.bin.2	C	17
RDPYD18300297_A_saliva.metaspades.bin.2	S	68
RDPYD18300297_A_saliva.metaspades.bin.2	V	12
